z	z=1	z=2	z=3	z=4	z=5	z=6	z=7	z=8	z=9	z=10
0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%
2%	0.121%	0.008%	0.001%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%
4%	0.487%	0.063%	0.008%	0.001%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%
6%	1.103%	0.21%	0.042%	0.008%	0.002%	0.0%	0.0%	0.0%	0.0%	0.0%
8%	1.976%	0.492%	0.128%	0.034%	0.009%	0.003%	0.001%	0.0%	0.0%	0.0%
10%	3.111%	0.951%	0.303%	0.099%	0.033%	0.011%	0.004%	0.001%	0.0%	0.0%
12%	4.516%	1.627%	0.61%	0.234%	0.091%	0.036%	0.014%	0.006%	0.002%	0.001%
14%	6.199%	2.558%	1.097%	0.481%	0.214%	0.096%	0.044%	0.02%	0.009%	0.004%
16%	8.168%	3.781%	1.816%	0.891%	0.444%	0.223%	0.113%	0.058%	0.03%	0.015%
18%	10.431%	5.33%	2.82%	1.524%	0.835%	0.462%	0.258%	0.145%	0.082%	0.046%
20%	13.0%	7.24%	4.168%	2.448%	1.457%	0.875%	0.53%	0.323%	0.197%	0.121%
22%	15.885%	9.543%	5.915%	3.736%	2.39%	1.543%	1.003%	0.656%	0.431%	0.284%
24%	19.099%	12.27%	8.118%	5.467%	3.727%	2.563%	1.774%	1.234%	0.863%	0.605%
26%	22.655%	15.452%	10.832%	7.721%	5.566%	4.046%	2.96%	2.176%	1.606%	1.19%
28%	26.569%	19.118%	14.111%	10.578%	8.013%	6.118%	4.699%	3.626%	2.809%	2.182%
30%	30.857%	23.297%	18.005%	14.116%	11.175%	8.911%	7.145%	5.754%	4.65%	3.77%
32%	35.539%	28.019%	22.564%	18.41%	15.155%	12.559%	10.46%	8.748%	7.34%	6.176%
34%	40.635%	33.311%	27.832%	23.529%	20.053%	17.193%	14.809%	12.803%	11.102%	9.652%
36%	46.17%	39.203%	33.852%	29.537%	25.958%	22.934%	20.347%	18.111%	16.165%	14.462%
38%	52.17%	45.724%	40.662%	36.488%	32.947%	29.889%	27.212%	24.847%	22.743%	20.859%
40%	58.667%	52.907%	48.299%	44.428%	41.084%	38.141%	35.517%	33.156%	31.015%	29.063%
42%	65.694%	60.783%	56.795%	53.395%	50.414%	47.75%	45.341%	43.14%	41.114%	39.239%
44%	73.291%	69.388%	66.183%	63.418%	60.966%	58.75%	56.723%	54.849%	53.105%	51.472%
46%	81.505%	78.763%	76.492%	74.518%	72.753%	71.145%	69.661%	68.28%	66.983%	65.759%
48%	90.388%	88.95%	87.754%	86.709%	85.77%	84.911%	84.114%	83.368%	82.665%	81.998%
50%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%	100.0%
