q	Honest - q	Withholding - R(q)
0.0	0.0	0.0
0.005	0.005	7.512562814070352e-05
0.01	0.01	0.00030101010101010105
0.015	0.015	0.0006784263959390863
0.02	0.02	0.0012081632653061227
0.025	0.025	0.0018910256410256414
0.03	0.03	0.0027278350515463922
0.035	0.035	0.003719430051813472
0.04	0.04	0.004866666666666668
0.045	0.045	0.006170418848167539
0.05	0.05	0.007631578947368422
0.055	0.055	0.0092510582010582
0.06	0.06	0.011029787234042554
0.065	0.065	0.01296871657754011
0.07	0.07	0.015068817204301076
0.075	0.075	0.01733108108108108
0.08	0.08	0.019756521739130437
0.085	0.085	0.02234617486338798
0.09	0.09	0.0251010989010989
0.095	0.095	0.028022375690607736
0.1	0.1	0.031111111111111114
0.105	0.105	0.034368435754189935
0.11	0.11	0.03779550561797753
0.115	0.115	0.041393502824858756
0.12	0.12	0.045163636363636364
0.125	0.125	0.049107142857142856
0.13	0.13	0.05322528735632185
0.135	0.135	0.05751936416184971
0.14	0.14	0.06199069767441861
0.145	0.145	0.06664064327485379
0.15	0.15	0.07147058823529412
0.155	0.155	0.0764819526627219
0.16	0.16	0.08167619047619049
0.165	0.165	0.0870547904191617
0.17	0.17	0.09261927710843375
0.175	0.175	0.09837121212121211
0.18	0.18	0.10431219512195121
0.185	0.185	0.11044386503067484
0.19	0.19	0.11676790123456789
0.195	0.195	0.12328602484472051
0.2	0.2	0.13000000000000003
0.205	0.205	0.13691163522012575
0.21	0.21	0.14402278481012654
0.215	0.215	0.1513353503184713
0.22	0.22	0.15885128205128204
0.225	0.225	0.16657258064516128
0.23	0.23	0.1745012987012987
0.235	0.235	0.1826395424836601
0.24	0.24	0.19098947368421051
0.245	0.245	0.19955331125827813
0.25	0.25	0.20833333333333334
0.255	0.255	0.21733187919463084
0.26	0.26	0.22655135135135138
0.265	0.265	0.23599421768707485
0.27	0.27	0.24566301369863014
0.275	0.275	0.25556034482758627
0.28	0.28	0.2656888888888889
0.285	0.285	0.27605139860139855
0.29	0.29	0.2866507042253521
0.295	0.295	0.2974897163120566
0.3	0.3	0.3085714285714286
0.305	0.305	0.3198989208633093
0.31	0.31	0.3314753623188406
0.315	0.315	0.34330401459854015
0.32	0.32	0.3553882352941177
0.325	0.325	0.3677314814814815
0.33	0.33	0.38033731343283594
0.335	0.335	0.39320939849624065
0.34	0.34	0.40635151515151524
0.345	0.345	0.4197675572519083
0.35	0.35	0.43346153846153834
0.355	0.355	0.44743759689922485
0.36	0.36	0.46169999999999994
0.365	0.365	0.47625314960629916
0.37	0.37	0.4911015873015872
0.375	0.375	0.50625
0.38	0.38	0.5217032258064517
0.385	0.385	0.5374662601626016
0.39	0.39	0.553544262295082
0.395	0.395	0.5699425619834713
0.4	0.4	0.5866666666666669
0.405	0.405	0.6037222689075632
0.41	0.41	0.6211152542372881
0.415	0.415	0.6388517094017094
0.42	0.42	0.6569379310344825
0.425	0.425	0.6753804347826086
0.43	0.43	0.6941859649122806
0.435	0.435	0.7133615044247789
0.44	0.44	0.7329142857142856
0.445	0.445	0.7528518018018019
0.45	0.45	0.7731818181818182
0.455	0.455	0.7939123853211011
0.46	0.46	0.8150518518518518
0.465	0.465	0.8366088785046732
0.47	0.47	0.8585924528301886
0.475	0.475	0.8810119047619048
0.48	0.48	0.9038769230769232
0.485	0.485	0.9271975728155339
0.49	0.49	0.9509843137254901
0.495	0.495	0.9752480198019801
0.5	0.5	1.0
0.505	0.505	1.02020202020202
0.51	0.51	1.0408163265306123
0.515	0.515	1.0618556701030928
0.52	0.52	1.0833333333333335
0.525	0.525	1.105263157894737
0.53	0.53	1.1276595744680853
0.535	0.535	1.1505376344086022
0.54	0.54	1.173913043478261
0.545	0.545	1.197802197802198
0.55	0.55	1.2222222222222225
0.555	0.555	1.2471910112359552
0.56	0.56	1.272727272727273
0.565	0.565	1.2988505747126433
0.57	0.57	1.325581395348837
0.575	0.575	1.352941176470588
0.58	0.58	1.3809523809523807
0.585	0.585	1.4096385542168672
0.59	0.59	1.4390243902439022
0.595	0.595	1.4691358024691357
0.6	0.6	1.4999999999999998
0.605	0.605	1.5316455696202531
0.61	0.61	1.564102564102564
0.615	0.615	1.5974025974025974
0.62	0.62	1.631578947368421
0.625	0.625	1.6666666666666667
0.63	0.63	1.7027027027027026
0.635	0.635	1.7397260273972603
0.64	0.64	1.777777777777778
0.645	0.645	1.8169014084507045
0.65	0.65	1.8571428571428574
0.655	0.655	1.8985507246376814
0.66	0.66	1.9411764705882355
0.665	0.665	1.985074626865672
0.67	0.67	2.0303030303030307
0.675	0.675	2.0769230769230775
0.68	0.68	2.1250000000000004
0.685	0.685	2.1746031746031753
0.69	0.69	2.2258064516129026
0.695	0.695	2.2786885245901636
0.7	0.7	2.333333333333333
0.705	0.705	2.3898305084745757
0.71	0.71	2.4482758620689653
0.715	0.715	2.508771929824561
0.72	0.72	2.571428571428571
0.725	0.725	2.6363636363636362
0.73	0.73	2.7037037037037033
0.735	0.735	2.773584905660377
0.74	0.74	2.846153846153846
0.745	0.745	2.9215686274509802
0.75	0.75	3.0
0.755	0.755	3.0816326530612246
0.76	0.76	3.166666666666667
0.765	0.765	3.2553191489361706
0.77	0.77	3.347826086956522
0.775	0.775	3.444444444444445
0.78	0.78	3.545454545454546
0.785	0.785	3.651162790697675
0.79	0.79	3.7619047619047628
0.795	0.795	3.8780487804878057
0.8	0.8	4.000000000000001
0.805	0.805	4.1282051282051295
0.81	0.81	4.263157894736843
0.815	0.815	4.4054054054054035
0.82	0.82	4.5555555555555545
0.825	0.825	4.714285714285713
