q	assaf (z=6)	satoshi (z=6)	meni (z=6)
0.0	0.0	0.0	0.0
0.025	0.0	0.0	0.0
0.05	0.0	0.0	1.0e-05
0.075	2.0e-05	4.0e-05	0.00012
0.1	0.00011	0.00024	0.00059
0.125	0.00047	0.00091	0.00201
0.15	0.00149	0.00268	0.00531
0.175	0.00389	0.0066	0.01185
0.2	0.00875	0.01425	0.02331
0.225	0.01761	0.0278	0.04158
0.25	0.03239	0.04994	0.06866
0.275	0.05538	0.0837	0.10641
0.3	0.08911	0.13211	0.15645
0.325	0.1362	0.19777	0.21992
0.35	0.19918	0.28217	0.29737
0.375	0.28031	0.38509	0.38868
0.4	0.38141	0.50398	0.493
0.425	0.50369	0.6336	0.60877
0.45	0.64774	0.76611	0.73375
0.475	0.81343	0.89171	0.86521
0.5	1.0	1.0	1.0
