x	z=1, a=12	z=2, a=12	z=3, a=12	z=4, a=12	z=5, a=12	z=6, a=12
0.0	11.0	10.0	9.0	8.0	7.0	6.0
0.04	11.4	10.81	9.75	8.67	7.58	6.5
0.08	11.79	11.65	10.55	9.39	8.22	7.04
0.12	12.17	12.51	11.43	10.18	8.91	7.64
0.16	12.54	13.38	12.36	11.03	9.67	8.29
0.2	12.9	14.28	13.35	11.97	10.5	9.0
0.24	13.25	15.19	14.41	12.99	11.4	9.79
0.28	13.58	16.11	15.54	14.1	12.41	10.65
0.32	13.9	17.02	16.71	15.28	13.51	11.63
0.36	14.19	17.93	17.93	16.57	14.73	12.69
0.4	14.47	18.85	19.2	17.94	16.05	13.88
0.44	14.71	19.75	20.52	19.41	17.49	15.2
0.48	14.91	20.61	21.83	20.95	19.07	16.68
0.52	15.07	21.41	23.18	22.58	20.74	18.27
0.56	15.21	22.12	24.46	24.22	22.51	20.0
0.6	15.24	22.8	25.72	25.88	24.36	21.88
0.64	15.22	23.32	26.88	27.47	26.24	23.83
0.68	15.12	23.68	27.88	29.03	28.14	25.83
0.72	14.93	23.9	28.69	30.41	29.92	27.83
0.76	14.59	23.91	29.26	31.53	31.53	29.77
0.8	14.22	23.76	29.61	32.49	32.94	31.59
0.84	13.68	23.34	29.67	33.0	34.04	33.12
0.88	13.16	22.72	29.3	33.21	34.94	34.31
0.92	12.48	21.84	28.8	33.12	35.28	35.28
0.96	11.76	21.07	27.93	32.83	35.28	35.77
1.04	10.2	18.87	26.01	31.11	34.17	35.7
1.08	9.62	17.68	24.7	29.9	33.54	35.36
1.12	8.83	16.78	23.32	28.62	32.51	34.63
1.16	8.24	15.66	22.14	27.41	31.32	33.89
1.2	7.7	14.63	20.9	26.07	30.14	32.89
1.24	7.09	13.72	19.69	24.83	28.93	31.83
1.28	6.68	12.87	18.57	23.61	27.77	30.78
1.32	6.24	12.11	17.54	22.4	26.53	29.65
1.36	5.83	11.41	16.59	21.37	25.44	28.58
1.4	5.46	10.74	15.72	20.34	24.36	27.54
1.44	5.16	10.2	14.97	19.41	23.35	26.56
1.48	4.91	9.66	14.21	18.5	22.37	25.63
1.52	4.65	9.21	13.57	17.74	21.52	24.72
1.56	4.43	8.78	12.98	16.96	20.66	23.86
1.6	4.2	8.36	12.44	16.29	19.89	23.05
1.64	4.04	8.04	11.92	15.68	19.18	22.32
1.68	3.86	7.72	11.47	15.09	18.56	21.64
1.72	3.74	7.4	11.07	14.58	17.94	20.97
1.76	3.6	7.15	10.68	14.09	17.36	20.37
1.8	3.46	6.93	10.33	13.65	16.83	19.81
1.84	3.35	6.69	10.01	13.25	16.36	19.27
1.88	3.24	6.48	9.72	12.86	15.91	18.75
1.92	3.17	6.32	9.43	12.51	15.49	18.31
1.96	3.08	6.14	9.19	12.18	15.11	17.85
2.0	3.0	5.97	8.94	11.88	14.73	17.46
2.04	2.92	5.82	8.71	11.58	14.38	17.07
2.08	2.85	5.68	8.53	11.32	14.06	16.68
2.12	2.79	5.54	8.33	11.06	13.76	16.35
2.16	2.72	5.45	8.15	10.84	13.48	16.02
2.2	2.67	5.33	7.97	10.61	13.2	15.73
2.24	2.61	5.23	7.81	10.4	12.96	15.44
2.28	2.56	5.13	7.66	10.2	12.71	15.17
2.32	2.52	5.03	7.52	10.04	12.5	14.89
2.36	2.47	4.94	7.41	9.86	12.28	14.65
2.4	2.43	4.86	7.29	9.69	12.07	14.43
2.44	2.39	4.78	7.17	9.53	11.9	14.19
2.48	2.35	4.7	7.05	9.38	11.71	13.99
2.52	2.32	4.63	6.95	9.24	11.53	13.78
2.56	2.28	4.56	6.85	9.11	11.36	13.6
2.6	2.25	4.5	6.75	8.98	11.23	13.41
2.64	2.22	4.44	6.66	8.88	11.08	13.23
2.68	2.19	4.38	6.57	8.76	10.93	13.08
2.72	2.16	4.33	6.49	8.65	10.79	12.91
2.76	2.14	4.27	6.41	8.55	10.66	12.75
2.8	2.11	4.22	6.33	8.44	10.53	12.62
2.84	2.09	4.17	6.26	8.35	10.41	12.48
2.88	2.06	4.13	6.19	8.26	10.3	12.34
2.92	2.04	4.08	6.13	8.17	10.19	12.21
2.96	2.02	4.04	6.06	8.08	10.08	12.08
3.0	2.0	4.0	6.0	8.0	9.98	11.96
3.04	1.98	3.96	5.94	7.92	9.9	11.84
3.08	1.96	3.92	5.88	7.85	9.81	11.75
3.12	1.94	3.89	5.83	7.77	9.72	11.64
3.16	1.93	3.85	5.78	7.7	9.63	11.54
3.2	1.91	3.82	5.73	7.64	9.55	11.44
3.24	1.89	3.79	5.68	7.57	9.46	11.34
3.28	1.88	3.75	5.63	7.51	9.39	11.24
3.32	1.86	3.72	5.59	7.45	9.31	11.15
3.36	1.85	3.69	5.54	7.39	9.24	11.07
3.4	1.83	3.67	5.5	7.33	9.17	10.98
3.44	1.82	3.64	5.46	7.28	9.1	10.9
3.48	1.81	3.61	5.42	7.23	9.03	10.82
3.52	1.79	3.59	5.38	7.17	8.97	10.74
3.56	1.78	3.56	5.34	7.13	8.91	10.67
3.6	1.77	3.54	5.31	7.08	8.85	10.6
3.64	1.76	3.52	5.27	7.03	8.79	10.53
3.68	1.75	3.49	5.24	6.99	8.73	10.48
3.72	1.74	3.47	5.21	6.94	8.68	10.41
3.76	1.72	3.45	5.17	6.9	8.62	10.35
3.8	1.71	3.43	5.14	6.86	8.57	10.29
3.84	1.7	3.41	5.11	6.82	8.52	10.23
3.88	1.69	3.39	5.08	6.78	8.47	10.17
3.92	1.68	3.37	5.05	6.74	8.42	10.11
3.96	1.68	3.35	5.03	6.7	8.38	10.05
4.0	1.67	3.33	5.0	6.67	8.33	10.0
