x	z=1, a=10	z=1, a=11	z=1, a=12	z=2, a=10	z=2, a=11	z=2, a=12	z=3, a=10	z=3, a=11	z=3, a=12	z=4, a=10	z=4, a=11	z=4, a=12	z=5, a=10	z=5, a=11	z=5, a=12	z=6, a=10	z=6, a=11	z=6, a=12
0.0	9.0	10.0	11.0	8.0	9.0	10.0	7.0	8.0	9.0	6.0	7.0	8.0	5.0	6.0	7.0	4.0	5.0	6.0
0.04	9.32	10.36	11.4	8.65	9.73	10.81	7.58	8.67	9.75	6.5	7.58	8.67	5.42	6.5	7.58	4.33	5.42	6.5
0.08	9.63	10.71	11.79	9.32	10.48	11.65	8.21	9.38	10.55	7.04	8.22	9.39	5.87	7.04	8.22	4.7	5.87	7.04
0.12	9.93	11.05	12.17	10.0	11.25	12.51	8.88	10.16	11.43	7.64	8.91	10.18	6.36	7.64	8.91	5.09	6.36	7.64
0.16	10.22	11.38	12.54	10.69	12.04	13.38	9.61	10.98	12.36	8.27	9.65	11.03	6.9	8.29	9.67	5.52	6.9	8.29
0.2	10.5	11.7	12.9	11.4	12.84	14.28	10.38	11.86	13.35	8.97	10.47	11.97	7.5	9.0	10.5	6.0	7.5	9.0
0.24	10.77	12.01	13.25	12.11	13.66	15.19	11.19	12.81	14.41	9.74	11.36	12.99	8.14	9.77	11.4	6.53	8.16	9.79
0.28	11.02	12.3	13.58	12.84	14.47	16.11	12.05	13.8	15.54	10.56	12.32	14.1	8.85	10.63	12.41	7.11	8.87	10.65
0.32	11.26	12.58	13.9	13.55	15.28	17.02	12.95	14.83	16.71	11.45	13.36	15.28	9.65	11.57	13.51	7.75	9.69	11.63
0.36	11.47	12.83	14.19	14.24	16.09	17.93	13.88	15.92	17.93	12.39	14.49	16.57	10.5	12.6	14.73	8.46	10.58	12.69
0.4	11.67	13.07	14.47	14.93	16.89	18.85	14.84	17.03	19.2	13.42	15.68	17.94	11.43	13.74	16.05	9.24	11.57	13.88
0.44	11.83	13.27	14.71	15.61	17.67	19.75	15.81	18.15	20.52	14.48	16.95	19.41	12.45	14.97	17.49	10.11	12.65	15.2
0.48	11.95	13.43	14.91	16.22	18.41	20.61	16.79	19.33	21.83	15.6	18.27	20.95	13.52	16.28	19.07	11.04	13.86	16.68
0.52	12.07	13.55	15.07	16.82	19.1	21.41	17.77	20.46	23.18	16.72	19.63	22.58	14.66	17.7	20.74	12.1	15.17	18.27
0.56	12.09	13.65	15.21	17.3	19.71	22.12	18.68	21.56	24.46	17.87	21.06	24.22	15.88	19.18	22.51	13.19	16.59	20.0
0.6	12.08	13.68	15.24	17.76	20.28	22.8	19.56	22.64	25.72	19.04	22.44	25.88	17.12	20.72	24.36	14.36	18.08	21.88
0.64	12.03	13.62	15.22	18.09	20.68	23.32	20.32	23.6	26.88	20.14	23.78	27.47	18.36	22.28	26.24	15.58	19.68	23.83
0.68	11.92	13.49	15.12	18.32	21.0	23.68	21.0	24.41	27.88	21.16	25.04	29.03	19.58	23.84	28.14	16.85	21.32	25.83
0.72	11.73	13.33	14.93	18.43	21.13	23.9	21.56	25.12	28.69	22.11	26.23	30.41	20.76	25.31	29.92	18.06	22.91	27.83
0.76	11.44	13.05	14.59	18.41	21.19	23.91	22.0	25.59	29.26	22.88	27.21	31.53	21.85	26.62	31.53	19.29	24.49	29.77
0.8	11.16	12.69	14.22	18.27	20.97	23.76	22.23	25.83	29.61	23.49	27.9	32.49	22.77	27.81	32.94	20.43	25.92	31.59
0.84	10.81	12.19	13.68	18.05	20.7	23.34	22.31	25.87	29.67	24.03	28.4	33.0	23.57	28.75	34.04	21.39	27.14	33.12
0.88	10.34	11.75	13.16	17.7	20.21	22.72	22.09	25.69	29.3	24.28	28.67	33.21	24.28	29.45	34.94	22.25	28.2	34.31
0.92	9.84	11.28	12.48	17.28	19.44	21.84	21.84	25.2	28.8	24.24	28.8	33.12	24.72	30.0	35.28	23.04	29.04	35.28
0.96	9.31	10.78	11.76	16.66	18.62	21.07	21.56	24.5	27.93	24.01	28.42	32.83	24.99	29.89	35.28	23.52	29.89	35.77
1.04	8.67	9.18	10.2	15.3	17.34	18.87	20.4	22.95	26.01	23.46	27.54	31.11	24.99	29.58	34.17	24.48	30.09	35.7
1.08	8.06	8.84	9.62	14.56	16.38	17.68	19.76	22.1	24.7	23.14	26.52	29.9	24.7	29.12	33.54	24.44	29.9	35.36
1.12	7.6	8.3	8.83	13.96	15.37	16.78	19.08	21.2	23.32	22.61	25.62	28.62	24.38	28.62	32.51	24.38	29.68	34.63
1.16	7.16	7.7	8.24	13.37	14.58	15.66	18.36	20.25	22.14	21.87	24.71	27.41	23.9	27.81	31.32	24.17	29.16	33.89
1.2	6.71	7.26	7.7	12.65	13.75	14.63	17.6	19.25	20.9	21.23	23.76	26.07	23.43	26.95	30.14	23.87	28.6	32.89
1.24	6.35	6.81	7.09	12.04	12.97	13.72	16.89	18.39	19.69	20.53	22.87	24.83	22.96	26.13	28.93	23.61	28.0	31.83
1.28	6.03	6.35	6.68	11.48	12.21	12.87	16.12	17.43	18.57	19.87	21.9	23.61	22.39	25.24	27.77	23.29	27.28	30.78
1.32	5.73	6.02	6.24	10.95	11.6	12.11	15.51	16.6	17.54	19.21	20.95	22.4	21.75	24.36	26.53	22.84	26.53	29.65
1.36	5.44	5.64	5.83	10.42	10.95	11.41	14.88	15.8	16.59	18.55	20.06	21.37	21.17	23.53	25.44	22.42	25.83	28.58
1.4	5.16	5.34	5.46	9.96	10.38	10.74	14.28	15.06	15.72	17.88	19.26	20.34	20.58	22.68	24.36	21.96	25.08	27.54
1.44	4.88	5.05	5.16	9.48	9.87	10.2	13.7	14.42	14.97	17.3	18.47	19.41	20.02	21.9	23.35	21.52	24.34	26.56
1.48	4.65	4.81	4.91	9.09	9.4	9.66	13.18	13.8	14.21	16.69	17.72	18.5	19.48	21.13	22.37	21.08	23.66	25.63
1.52	4.46	4.56	4.65	8.72	8.97	9.21	12.65	13.18	13.57	16.14	17.06	17.74	18.9	20.4	21.52	20.6	22.97	24.72
1.56	4.25	4.34	4.43	8.37	8.59	8.78	12.21	12.66	12.98	15.63	16.41	16.96	18.38	19.7	20.66	20.16	22.31	23.86
1.6	4.07	4.16	4.2	8.06	8.23	8.36	11.79	12.18	12.44	15.12	15.82	16.29	17.9	19.07	19.89	19.72	21.71	23.05
1.64	3.92	4.0	4.04	7.76	7.92	8.04	11.39	11.72	11.92	14.64	15.26	15.68	17.41	18.48	19.18	19.31	21.12	22.32
1.68	3.78	3.86	3.86	7.49	7.61	7.72	11.0	11.27	11.47	14.23	14.74	15.09	16.95	17.93	18.56	18.88	20.53	21.64
1.72	3.66	3.7	3.74	7.22	7.33	7.4	10.65	10.88	11.07	13.83	14.28	14.58	16.55	17.38	17.94	18.51	20.02	20.97
1.76	3.52	3.56	3.6	7.01	7.08	7.15	10.31	10.53	10.68	13.44	13.84	14.09	16.12	16.89	17.36	18.12	19.5	20.37
1.8	3.43	3.46	3.46	6.79	6.86	6.93	10.01	10.22	10.33	13.05	13.44	13.65	15.75	16.42	16.83	17.74	19.0	19.81
1.84	3.31	3.35	3.35	6.59	6.66	6.69	9.74	9.91	10.01	12.71	13.05	13.25	15.38	15.99	16.36	17.41	18.56	19.27
1.88	3.21	3.24	3.24	6.38	6.45	6.48	9.49	9.62	9.72	12.4	12.7	12.86	15.02	15.58	15.91	17.08	18.13	18.75
1.92	3.14	3.14	3.17	6.22	6.28	6.32	9.24	9.36	9.43	12.09	12.35	12.51	14.7	15.2	15.49	16.76	17.74	18.31
1.96	3.05	3.05	3.08	6.07	6.11	6.14	9.0	9.13	9.19	11.84	12.06	12.18	14.4	14.83	15.11	16.43	17.36	17.85
2.0	2.97	2.97	3.0	5.91	5.94	5.97	8.79	8.88	8.94	11.55	11.76	11.88	14.1	14.49	14.73	16.14	16.98	17.46
2.04	2.89	2.92	2.92	5.76	5.82	5.82	8.59	8.68	8.71	11.31	11.49	11.58	13.8	14.18	14.38	15.87	16.63	17.07
2.08	2.82	2.85	2.85	5.65	5.68	5.68	8.41	8.47	8.53	11.07	11.24	11.32	13.55	13.89	14.06	15.6	16.31	16.68
2.12	2.76	2.79	2.79	5.52	5.54	5.54	8.22	8.3	8.33	10.86	11.0	11.06	13.29	13.59	13.76	15.35	16.02	16.35
2.16	2.7	2.72	2.72	5.39	5.42	5.45	8.06	8.12	8.15	10.65	10.76	10.84	13.05	13.32	13.48	15.09	15.72	16.02
2.2	2.67	2.67	2.67	5.31	5.31	5.33	7.89	7.95	7.97	10.45	10.56	10.61	12.83	13.07	13.2	14.88	15.44	15.73
2.24	2.61	2.61	2.61	5.2	5.2	5.23	7.76	7.79	7.81	10.24	10.35	10.4	12.62	12.83	12.96	14.66	15.18	15.44
