z	p=0.7	p=0.76	p=0.82	p=0.88	p=0.94	p=1.0
0	0.004597196752658543	0.02923240901647384	0.07980974291555613	0.1428713028266777	0.290209006730694	1
1	0.011106392734298589	0.06425049838504689	0.16320367300753374	0.2846396553663675	0.5410126242431876	1
2	0.020030661710048907	0.10509981137130313	0.24917594150008446	0.42251008112551053	0.7302667812654225	1
3	0.031904319527223404	0.15162055957574924	0.33665390324354083	0.5519541861576042	0.8541966547627294	1
4	0.04726592026301403	0.20345322260703613	0.42434956055737927	0.6676628110483889	0.9251473950022102	1
5	0.0666263927440167	0.2600428104771432	0.5106406848433603	0.765174617113383	0.9610879335624245	1
6	0.0904339564477525	0.3206365155504475	0.5935737044987685	0.8422446989571066	0.9773980732024894	1
7	0.11903737757465667	0.38427752908933954	0.6710313897546921	0.8992838757922759	0.98410527015957	1
8	0.15264916033907885	0.4498062945413268	0.7410277955084296	0.9388479440863464	0.9866299146206355	1
9	0.1913107249418298	0.5158844392030432	0.8020301178008437	0.9646271291479854	0.987507342812048	1
10	0.23486256426508054	0.5810529917994499	0.85319659526995	0.9804539404815852	0.987791022868284	1
11	0.2829234842252929	0.6438260874854633	0.8944603336399548	0.9896396942199162	0.9878768964695459	1
12	0.3348837105104917	0.7028085609763997	0.9264522804596746	0.9946966535720608	0.9879013722973329	1
13	0.38991625119908074	0.7568161678363019	0.9503093553986672	0.9973459335393763	0.9879079728716958	1
14	0.4470091013462369	0.8049745382824257	0.9674370162041402	0.9986707753737128	0.9879096642858521	1
15	0.5050178335273979	0.8467779758137374	0.9792892616423394	0.9993049992396901	0.9879100776935912	1
16	0.5627345110624232	0.8820994215136065	0.9872053461635307	0.9995964166274256	0.9879101743916094	1
17	0.61896563666086	0.9111543511397268	0.992315642291875	0.9997252547181531	0.987910196101527	1
18	0.6726098942354114	0.9344304151320385	0.9955089114293215	0.9997801841757799	0.9879102007924255	1
19	0.7227262781734944	0.9525992019985341	0.9974431062754489	0.9998028147587068	0.9879102017702259	1
20	0.7685848430970794	0.9664264099447253	0.9985803274947209	0.9998118416931391	0.9879102019672766	1
21	0.8096952862570389	0.9766931645954696	0.9992302352743252	0.9998153338818077	0.987910202005744	1
22	0.8458121452095223	0.9841360366191702	0.999591708697158	0.9998166462838286	0.9879102020130311	1
23	0.8769187626158422	0.9894081715420223	0.9997876143028596	0.9998171261195995	0.987910202014373	1
24	0.9031947135436814	0.9930599576111946	0.9998911912293611	0.9998172970308496	0.9879102020146133	1
25	0.9249727748412351	0.9955352718241633	0.9999446719014476	0.9998173564125202	0.9879102020146554	1
26	0.9426917157444322	0.9971784709027408	0.9999716675324899	0.9998173765613192	0.9879102020146626	1
27	0.9568504216968706	0.9982475408260707	0.9999850018960352	0.9998173832453093	0.9879102020146637	1
28	0.9679674821431468	0.9989297069094386	0.9999914529145203	0.9998173854152809	0.9879102020146638	1
29	0.9765487549461037	0.9993569192428864	0.9999945122950689	0.999817386105387	0.9879102020146638	1
30	0.9830638825452248	0.9996196781867343	0.999995935732591	0.9998173863205687	0.9879102020146638	1
31	0.9879314904275391	0.9997785000251007	0.9999965859720402	0.9998173863864072	0.9879102020146638	1
32	0.9915119457798646	0.9998728994276025	0.9999968778153059	0.9998173864061896	0.9879102020146638	1
33	0.9941060965441322	0.9999281059545988	0.9999970065991504	0.9998173864120309	0.9879102020146638	1
34	0.9959582872159805	0.9999598906711226	0.9999970625086947	0.999817386413727	0.9879102020146638	1
35	0.9972620647119873	0.9999779161427185	0.9999970864025164	0.9998173864142116	0.9879102020146638	1
36	0.9981672480530968	0.9999879905243407	0.9999970964604415	0.999817386414348	0.9879102020146638	1
37	0.9987873554215915	0.9999935422319949	0.9999971006328712	0.9998173864143859	0.9879102020146638	1
38	0.999206699386073	0.9999965601989221	0.999997102339543	0.999817386414396	0.9879102020146638	1
39	0.9994867373220215	0.9999981793079236	0.9999971030281988	0.9998173864143987	0.9879102020146638	1
40	0.9996714812009371	0.9999990369313858	0.9999971033024481	0.9998173864143993	0.9879102020146638	1
41	0.9997919259204091	0.9999994856282676	0.9999971034102856	0.9998173864143995	0.9879102020146638	1
42	0.9998695545573282	0.9999997175888703	0.9999971034521704	0.9998173864143995	0.9879102020146638	1
43	0.999919033333363	0.999999836122509	0.9999971034682463	0.9998173864143995	0.9879102020146638	1
44	0.9999502308144013	0.9999998960173649	0.9999971034743458	0.9998173864143995	0.9879102020146638	1
45	0.9999696960288176	0.9999999259541744	0.9999971034766341	0.9998173864143995	0.9879102020146638	1
46	0.9999817177955532	0.9999999407599364	0.9999971034774837	0.9998173864143995	0.9879102020146638	1
47	0.9999890692331244	0.99999994800764	0.9999971034777959	0.9998173864143995	0.9879102020146638	1
48	0.9999935216089268	0.9999999515203627	0.9999971034779094	0.9998173864143995	0.9879102020146638	1
49	0.9999961930344085	0.9999999532064696	0.9999971034779502	0.9998173864143995	0.9879102020146638	1
50	0.9999977813537174	0.9999999540082268	0.9999971034779648	0.9998173864143995	0.9879102020146638	1
51	0.9999987173706134	0.9999999543860004	0.9999971034779699	0.9998173864143995	0.9879102020146638	1
52	0.999999264240879	0.9999999545624257	0.9999971034779715	0.9998173864143995	0.9879102020146638	1
53	0.9999995810805067	0.9999999546441093	0.999997103477972	0.9998173864143995	0.9879102020146638	1
54	0.9999997631534449	0.9999999546816115	0.9999971034779721	0.9998173864143995	0.9879102020146638	1
55	0.9999998669528112	0.9999999546986884	0.9999971034779721	0.9998173864143995	0.9879102020146638	1
