q	Standard: P=q	Type I: P=Q(q)	Type 0: P=S(ɣ,q) with ɣ=0.0	Type 0: P=S(ɣ,q) with ɣ=0.1	Type 0: P=S(ɣ,q) with ɣ=0.2	Type 0: P=S(ɣ,q) with ɣ=0.3	Type 0: P=S(ɣ,q) with ɣ=0.4	Type 0: P=S(ɣ,q) with ɣ=0.5
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.02	0.02	0.0012081632653061227	0.0008163265306122449	0.005351473922902495	0.011020408163265306	0.018309037900874636	0.028027210884353747	0.04
0.04	0.04	0.004866666666666668	0.0033333333333333335	0.012592592592592594	0.024166666666666666	0.03904761904761904	0.05888888888888888	0.08
0.06	0.06	0.011029787234042554	0.007659574468085107	0.021843971631205675	0.03957446808510638	0.062370820668693	0.0927659574468085	0.12
0.08	0.08	0.019756521739130437	0.01391304347826087	0.03323671497584542	0.057391304347826085	0.08844720496894413	0.12985507246376815	0.16
0.1	0.1	0.031111111111111114	0.022222222222222227	0.04691358024691358	0.07777777777777779	0.11746031746031746	0.17037037037037045	0.2
0.12	0.12	0.045163636363636364	0.03272727272727272	0.06303030303030302	0.10090909090909092	0.1496103896103896	0.21454545454545454	0.24
0.14	0.14	0.06199069767441861	0.04558139534883722	0.08175710594315247	0.12697674418604654	0.18511627906976746	0.26263565891472873	0.28
0.16	0.16	0.08167619047619049	0.06095238095238096	0.10328042328042328	0.1561904761904762	0.22421768707482997	0.31492063492063493	0.32
0.18	0.18	0.10431219512195121	0.07902439024390243	0.1278048780487805	0.18878048780487808	0.267177700348432	0.36	0.36
0.2	0.2	0.13000000000000003	0.10000000000000002	0.15555555555555559	0.22500000000000006	0.3142857142857143	0.4	0.4
0.22	0.22	0.15885128205128204	0.1241025641025641	0.18678062678062682	0.2651282051282051	0.3658608058608058	0.44	0.44
0.24	0.24	0.19098947368421051	0.15157894736842104	0.22175438596491232	0.3094736842105263	0.4222556390977443	0.48	0.48
0.26	0.26	0.22655135135135138	0.18270270270270272	0.2607807807807809	0.35837837837837844	0.4838610038610038	0.52	0.52
0.28	0.28	0.2656888888888889	0.21777777777777782	0.30419753086419765	0.4122222222222223	0.5511111111111111	0.56	0.56
0.3	0.3	0.3085714285714286	0.2571428571428572	0.3523809523809524	0.4714285714285713	0.6	0.6	0.6
0.32	0.32	0.3553882352941177	0.3011764705882353	0.40575163398692815	0.536470588235294	0.64	0.64	0.64
0.34	0.34	0.40635151515151524	0.3503030303030304	0.4647811447811449	0.6078787878787879	0.68	0.68	0.68
0.36	0.36	0.46169999999999994	0.40499999999999997	0.5299999999999999	0.68625	0.72	0.72	0.72
0.38	0.38	0.5217032258064517	0.46580645161290324	0.6020071684587813	0.76	0.76	0.76	0.76
0.4	0.4	0.5866666666666669	0.5333333333333334	0.6814814814814816	0.8	0.8	0.8	0.8
0.42	0.42	0.6569379310344825	0.6082758620689653	0.7691954022988505	0.84	0.84	0.84	0.84
0.44	0.44	0.7329142857142856	0.6914285714285714	0.8660317460317459	0.88	0.88	0.88	0.88
0.46	0.46	0.8150518518518518	0.7837037037037037	0.92	0.92	0.92	0.92	0.92
0.48	0.48	0.9038769230769232	0.8861538461538461	0.96	0.96	0.96	0.96	0.96
0.5	0.5	1	1	1	1	1	1	1
0.52	0.52	1	1	1	1	1	1	1
0.54	0.54	1	1	1	1	1	1	1
0.56	0.56	1	1	1	1	1	1	1
0.58	0.58	1	1	1	1	1	1	1
0.6	0.6	1	1	1	1	1	1	1
0.62	0.62	1	1	1	1	1	1	1
0.64	0.64	1	1	1	1	1	1	1
0.66	0.66	1	1	1	1	1	1	1
0.68	0.68	1	1	1	1	1	1	1
0.7	0.7	1	1	1	1	1	1	1
0.72	0.72	1	1	1	1	1	1	1
0.74	0.74	1	1	1	1	1	1	1
0.76	0.76	1	1	1	1	1	1	1
0.78	0.78	1	1	1	1	1	1	1
0.8	0.8	1	1	1	1	1	1	1
0.82	0.82	1	1	1	1	1	1	1
0.84	0.84	1	1	1	1	1	1	1
0.86	0.86	1	1	1	1	1	1	1
0.88	0.88	1	1	1	1	1	1	1
0.9	0.9	1	1	1	1	1	1	1
0.92	0.92	1	1	1	1	1	1	1
0.94	0.94	1	1	1	1	1	1	1
0.96	0.96	1	1	1	1	1	1	1
0.98	0.98	1	1	1	1	1	1	1
1.0	1.0	1	1	1	1	1	1	1
