q	Type I	ɣ=0.055
0.0	0.0	0.0
0.01	0.00030101010101010105	0.0013777991555769334
0.02	0.0012081632653061227	0.0031918799265738037
0.03	0.0027278350515463922	0.005455735558828343
0.04	0.004866666666666668	0.00818342151675485
0.05	0.007631578947368422	0.0113895850737956
0.06	0.011029787234042554	0.015089496791624451
0.07	0.015068817204301076	0.01929908403026683
0.08	0.019756521739130437	0.024034966643662295
0.09	0.0251010989010989	0.02931449502878074
0.1	0.031111111111111114	0.03515579071134627
0.11	0.03779550561797753	0.04157778966767731
0.12	0.045163636363636364	0.0486002886002886
0.13	0.05322528735632185	0.056243994404913955
0.14	0.06199069767441861	0.06453057708871664
0.15	0.07147058823529412	0.07348272642390288
0.16	0.08167619047619049	0.08312421264802217
0.17	0.09261927710843375	0.09347995155224073
0.18	0.10431219512195121	0.10457607433217188
0.19	0.11676790123456789	0.11644000261284213
0.2	0.13000000000000003	0.12910052910052913
0.21	0.14402278481012654	0.14258790436005625
0.22	0.15885128205128204	0.15693393026726363
0.23	0.1745012987012987	0.1721720607434893
0.24	0.19098947368421051	0.1883375104427736
0.25	0.20833333333333334	0.20546737213403882
0.26	0.22655135135135138	0.22360074360074364
0.27	0.24566301369863014	0.24277886497064582
0.28	0.2656888888888889	0.26304526748971196
0.29	0.2866507042253521	0.28444593486847003
0.3	0.3085714285714286	0.30702947845804984
0.31	0.3314753623188406	0.33084732765892183
0.32	0.3553882352941177	0.3559539371304077
0.33	0.38033731343283594	0.38240701255626636
0.34	0.40635151515151524	0.41026775693442374
0.35	0.43346153846153834	0.43960113960113956
0.36	0.46169999999999994	0.47047619047619044
0.37	0.4911015873015872	0.5029663223314017
0.38	0.5217032258064517	0.5371496842464585
0.39	0.553544262295082	0.5731095498308614
0.4	0.5866666666666669	0.6109347442680777
0.41	0.6211152542372881	0.6507201147879114
0.42	0.6569379310344825	0.692567049808429
0.43	0.6941859649122806	0.7365840527244034
0.44	0.7329142857142856	0.7828873771730914
0.45	0.7731818181818182	0.8316017316017318
0.46	0.8150518518518518	0.8828610621203214
0.47	0.8585924528301886	0.9368094239792353
0.48	0.9038769230769232	0.96
0.49	0.9509843137254901	0.98
0.5	1	1
