p	z=1	z=2	z=3	z=4	z=5	z=6	z=7	z=8	z=9	z=10
0.5	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
0.52	0.96	0.940032	0.9250799616	0.9126398656511999	0.9017721978303282	0.8920069462332058	0.8830697879715194	0.8747842762207992	0.8670290372221252	0.8597163638623089
0.54	0.9199999999999999	0.8802559999999999	0.8506387711999999	0.8261157057535998	0.8047953526544998	0.7857298400991604	0.7683649712637572	0.7523436471371048	0.7374197837131281	0.7234152302760681
0.56	0.8799999999999999	0.8208639999999999	0.7771506687999998	0.7412474527743997	0.7102845192739223	0.6828191587416589	0.6580051210127764	0.6352953136833034	0.6143114517108701	0.5947787403708416
0.58	0.8400000000000001	0.7620480000000001	0.7050806784000001	0.6588232132608003	0.6193840984831183	0.5847975723876824	0.5539048872792389	0.5259531857931193	0.5004193064855491	0.47692132848810265
0.6	0.8	0.7040000000000001	0.6348800000000001	0.579584	0.5331353600000002	0.49300373504000017	0.4576879050752002	0.4262063652208642	0.39787297935196164	0.3721840428308236
0.62	0.76	0.6469119999999999	0.5669814016000001	0.5042092383232	0.4524473124851508	0.4085449174663508	0.370619101822777	0.33743076235045155	0.3081088644266524	0.2820110720790079
0.64	0.72	0.590976	0.5017946111999999	0.43330330460159994	0.3780719149606502	0.3322607911368607	0.29355955373052345	0.2604401405078203	0.23182496748340464	0.20691832088295325
0.66	0.6799999999999999	0.5363839999999999	0.43970170880000004	0.36738335498239993	0.3105845198940568	0.2647001489562899	0.22694648854869504	0.19547935193697064	0.16899975647820453	0.14655212075462676
0.68	0.6399999999999999	0.48332799999999987	0.3810525184	0.30686870241279973	0.2503703081569484	0.20611172603268468	0.1707992786418051	0.14225874973342822	0.11896967814419246	0.09982502622799261
0.7	0.6000000000000001	0.43200000000000016	0.3261600000000002	0.2520720000000001	0.1976173200000001	0.15644958192000014	0.12475042359840016	0.10002508010755207	0.08055387210850906	0.06510671376260191
0.72	0.56	0.38259200000000004	0.2752956416000001	0.20319248875520013	0.1523165041079091	0.11539274949029132	0.08809871007694825	0.06766093336423695	0.0522099741694273	0.04044252364666012
0.74	0.52	0.33529600000000004	0.22868485120000004	0.1603115677696001	0.11426899870756868	0.08237807367244343	0.059880089090996735	0.04380238650953583	0.032202324097011514	0.023770883177259394
0.76	0.48	0.290304	0.18650234879999994	0.12339094487040014	0.08310062460174339	0.05664438870053268	0.03895045812980291	0.026963072938570476	0.01876370146776718	0.013113787899619034
0.78	0.43999999999999995	0.24780799999999992	0.1488675584000001	0.09227362580479992	0.0582833098881228	0.037285452327436186	0.024073600350252633	0.015652743381480483	0.01023392192207595	0.006721080597325457
0.8	0.3999999999999999	0.20799999999999985	0.11583999999999983	0.06668799999999997	0.03916288000000001	0.02330841088000002	0.014007122329599997	0.008479499419647873	0.005162925673676821	0.00315824109833418
0.82	0.3600000000000001	0.1710720000000001	0.08741468160000021	0.046255280947200106	0.024992334569963526	0.013694055382954984	0.007579426686946111	0.004227212532117108	0.002371761997418953	0.001337162779271539
0.84	0.32000000000000006	0.137216	0.06351749120000005	0.03050055925760009	0.014969394471895048	0.007454795701979822	0.0037516014281649968	0.0019029668466771232	0.0009712550176069756	0.0004981938649273321
0.86	0.28	0.10662400000000005	0.04400058880000002	0.018867726438400068	0.008276738239221815	0.0036861803141700067	0.001659602008857064	0.000753316190721165	0.00034412814383288914	0.0001580112339726325
0.88	0.24	0.079488	0.028637798400000025	0.010738527436799927	0.004122956888801377	0.001607981589273999	0.0006341831532969966	0.0002522315838945355	0.00010097876241110804	4.063897016048923e-05
0.9	0.19999999999999996	0.05599999999999994	0.017119999999999913	0.005456000000000016	0.0017818400000000345	0.0005914121600000266	0.00019857097280007174	6.724977593586257e-05	2.2928871994287725e-05	7.859764654116752e-06
0.92	0.15999999999999992	0.03635199999999994	0.009050521599999972	0.0023525588992000523	0.0006271637074739544	0.00017000299747416125	4.6630560535554366e-05	1.290406120357801e-05	3.5955473877136157e-06	1.007366835059642e-06
0.94	0.1200000000000001	0.020736000000000088	0.00394053119999993	0.0007829830655999848	0.0001596830638693758	3.312823151813138e-05	6.956692187753966e-06	1.474128577316769e-06	3.145663737269544e-07	6.750232006691448e-08
0.96	0.08000000000000007	0.009344000000000019	0.0012044288000000458	0.00016256368639999685	2.253701513210693e-05	3.179728095936696e-06	4.5422208150291965e-07	6.54870522254214e-08	9.509207754554438e-09	1.3886887195724285e-09
0.98	0.040000000000000036	0.0023680000000000367	0.00015523839999997957	1.067130879994771e-05	7.540063436950462e-07	5.4241482527750406e-08	3.951714289129882e-09	2.906190843532386e-10	2.1528667737413798e-11	1.6040502259784262e-12
1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
