p	z=50	z=51	z=52	z=53	z=54	z=55	z=56	z=57	z=58	z=59	z=60
0.6	0	0	0	0	0	0	0	0	0	0	0
0.64	0.0012170926502601221	0.0017237779348578952	0.002409492020013548	0.0033251073366286597	0.004531757521739289	0.006101672920472697	0.00811874353277638	0.010678713828527222	0.013888916579398778	0.01786746293949533	0.022741823931639427
0.68	0.03175699508930576	0.04052691061465587	0.05107679417996591	0.06359854689166482	0.0782668857825121	0.0952306910401376	0.11460452656194987	0.13646083999130285	0.16082334402722162	0.1876620369979387	0.21689023940733898
0.72	0.26461427663763293	0.30378483651111066	0.3450154776816379	0.38783537265728374	0.4317257650073207	0.4761397620380247	0.520523128725949	0.5643347774700966	0.6070657388785553	0.6482555836460532	0.6875055195954689
0.76	0.7486310600544082	0.785524088445206	0.8188097985044593	0.8484401324044782	0.8744724971880663	0.8970521483266731	0.9163927874398798	0.9327569349743083	0.9464373623130905	0.9577405350651335	0.9669726748742214
0.8	0.9809984129508245	0.9861482972526114	0.9900202473017328	0.9928925302472628	0.9949954516895259	0.996515458065337	0.9976004281335885	0.9983654239783217	0.9988983710834858	0.9992653182706479	0.999515079098039
0.84	0.9998613075630755	0.9999180570113116	0.99995219075351	0.9999724475779711	0.9999843122894412	0.9999911730068104	0.9999950907130047	0.9999973005649055	0.9999985321890317	0.999999210591829	0.9999995799930941
0.88	0.9999999737232214	0.9999999882683162	0.99999999482977	0.9999999977502134	0.9999999990331225	0.9999999995895	0.999999999827783	0.9999999999285888	0.9999999999707256	0.9999999999881329	0.9999999999952419
0.92	0.9999999999999925	0.9999999999999978	0.9999999999999993	0.9999999999999998	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999	0.9999999999999999
0.96	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997	0.9999999999999997
1.0	1	1	1	1	1	1	1	1	1	1	1
