q	q_b=(1-3ɣ)/(3-3ɣ)	q_s=(1-ɣ)/(3-2ɣ)
0.0	0.3333333333333333	0.3333333333333333
0.005	0.32998324958123953	0.33277591973244147
0.01	0.32659932659932656	0.33221476510067116
0.015	0.3231810490693739	0.33164983164983164
0.02	0.31972789115646255	0.3310810810810811
0.025	0.3162393162393163	0.33050847457627114
0.03	0.3127147766323024	0.3299319727891156
0.035	0.30915371329879104	0.32935153583617743
0.04	0.3055555555555556	0.3287671232876712
0.045	0.30191972076788826	0.32817869415807555
0.05	0.2982456140350877	0.3275862068965517
0.055	0.2945326278659612	0.3269896193771626
0.06	0.29078014184397166	0.3263888888888889
0.065	0.2869875222816399	0.32578397212543553
0.07	0.2831541218637993	0.32517482517482516
0.075	0.2792792792792793	0.32456140350877194
0.08	0.2753623188405797	0.323943661971831
0.085	0.27140255009107467	0.32332155477031804
0.09	0.2673992673992674	0.32269503546099293
0.095	0.26335174953959484	0.3220640569395018
0.1	0.25925925925925924	0.32142857142857145
0.105	0.25512104283054005	0.32078853046594985
0.11	0.250936329588015	0.32014388489208634
0.115	0.24670433145009418	0.3194945848375451
0.12	0.24242424242424243	0.31884057971014496
0.125	0.23809523809523808	0.3181818181818182
0.13	0.23371647509578544	0.3175182481751825
0.135	0.22928709055876687	0.31684981684981683
0.14	0.22480620155038758	0.31617647058823534
0.145	0.22027290448343081	0.3154981549815498
0.15	0.21568627450980396	0.31481481481481477
0.155	0.21104536489151873	0.3141263940520446
0.16	0.20634920634920637	0.3134328358208955
0.165	0.20159680638722555	0.31273408239700373
0.17	0.1967871485943775	0.3120300751879699
0.175	0.19191919191919196	0.3113207547169811
0.18	0.18699186991869918	0.3106060606060606
0.185	0.18200408997955012	0.30988593155893535
0.19	0.17695473251028807	0.30916030534351147
0.195	0.17184265010351968	0.30842911877394635
0.2	0.16666666666666663	0.3076923076923077
0.205	0.16142557651991615	0.306949806949807
0.21	0.1561181434599156	0.3062015503875969
0.215	0.15074309978768577	0.30544747081712065
0.22	0.14529914529914528	0.3046875
0.225	0.1397849462365591	0.303921568627451
0.23	0.13419913419913418	0.3031496062992126
0.235	0.12854030501089328	0.30237154150197626
0.24	0.12280701754385964	0.30158730158730157
0.245	0.11699779249448124	0.300796812749004
0.25	0.1111111111111111	0.3
0.255	0.10514541387024609	0.2991967871485943
0.26	0.0990990990990991	0.29838709677419356
0.265	0.0929705215419501	0.2975708502024292
0.27	0.08675799086757989	0.2967479674796748
0.275	0.0804597701149425	0.29591836734693877
0.28	0.07407407407407403	0.29508196721311475
0.285	0.0675990675990676	0.294238683127572
0.29	0.06103286384976531	0.2933884297520661
0.295	0.05437352245862883	0.2925311203319502
0.3	0.04761904761904766	0.2916666666666667
0.305	0.04076738609112708	0.2907949790794979
0.31	0.03381642512077297	0.2899159663865546
0.315	0.026763990267639877	0.2890295358649789
0.32	0.01960784313725492	0.288135593220339
0.325	0.012345679012345635	0.2872340425531915
0.33	0	0.2863247863247863
0.335	0	0.2854077253218884
0.34	0	0.2844827586206896
0.345	0	0.28354978354978355
0.35	0	0.28260869565217395
0.355	0	0.2816593886462882
0.36	0	0.2807017543859649
0.365	0	0.27973568281938327
0.37	0	0.2787610619469027
0.375	0	0.2777777777777778
0.38	0	0.27678571428571425
0.385	0	0.2757847533632287
0.39	0	0.2747747747747748
0.395	0	0.27375565610859726
0.4	0	0.2727272727272727
0.405	0	0.271689497716895
0.41	0	0.27064220183486243
0.415	0	0.2695852534562212
0.42	0	0.26851851851851855
0.425	0	0.26744186046511625
0.43	0	0.2663551401869159
0.435	0	0.2652582159624413
0.44	0	0.2641509433962264
0.445	0	0.26303317535545023
0.45	0	0.2619047619047619
0.455	0	0.2607655502392344
0.46	0	0.25961538461538464
0.465	0	0.2584541062801932
0.47	0	0.25728155339805825
0.475	0	0.25609756097560976
0.48	0	0.2549019607843137
0.485	0	0.25369458128078815
0.49	0	0.2524752475247525
0.495	0	0.2512437810945274
0.5	0	0.25
